구분,구간,연장(km),공사기간,건설비(백만원),토공(천),"교량(개소,m)","소교량(개소,m)","장대교(개소,m)","터널(개소,m)",나들목(개소),휴게소(개소),횡단육교(개소),버스정류장(개소),평면교차(개소)
경부선,서울~부산,428,1968-02-01~1970-07-07,42973,61494,317/17240,285/9080,32/8160,6/4051,19,,468,88,
남해선,부산~순천,176.5,1972-11-10~1973-11-14,22183,16543,93/6290,78/2229,15/4061,3/1107,5,,251,32,34
남해선,목포~광양,106.8,2002-12-24~2012-04-26,2293100,51771,109/17858,59/2388,50/15197,33/26346,8,2,3,,
광주대구선,고서~옥포,182.9,1981-10-01~1984-08-11,203969,,115/8507,95/3552,20/4955,4/2050,10,2,,20,3
광주대구선,무안~나주,30.4,2002-12~2007-12,407100,13743,56/3598,36/1299,10/2299,8/4842,5,1,4,,
광주대구선,나주~광주,10.9,2002-12~2008-12,204606,2625,14/1811,9/325,3/1486,1/1486,2,,2,,
서해안선,서울~안산,14.3,1991-12~1998-11,265420,1463,17/4393,13/535,4/3858,,1,,2,,
서해안선,인천~안산,27.6,1990-12-18~1994-11-19,441580,12616,62/8891,37/1768,25/7123,,5,,,,
서해안선,안산~안중,42.7,1993-12-17~1996-12-18,432100,22960,62/4544,49/1529,13/3015,6/3617,4,2,5,,
서해안선,안중~당진,18.8,1991-03-12~2000-12-15,760930,3646,14/7990,11/339,3/7651,,3,1,,,
서해안선,당진~서천,103.7,1996-12-02~2001-11-20,1366702,50732,112/13605,81/3015,31/10590,4/2254,7,8,3,,
서해안선,서천~군산,24.8,1991-03~1998-10,324816,6246,48/4008,38/1178,10/2830,1/330,2,2,2,,
서해안선,군산~무안,114.3,1998-04-30~2001-12-21,1192884,40439,180/12591,51/4860,29/7737,3/1825,7,8,23,,
서해안선,무안~목포,23.2,1990-12~1998-10,250700,11767,32/2911,27/1085,5/1826,7/2770,3,,,,
울산선,언양~울산,14.3,1969-06-20~1969-12-29,1815,2021,12/333,11/183,1/150,,,,14,4,
새만금포항선,새만금~전주,55.1,2018-5~2024-12,1547922,31690,105/11523,69/2232,36/9291,5/10379,3,2,15,,
새만금포항선,익산~장수,61,2001-9~2007-12,1307732,37761,65/13235,37/1769,28/11466,12/10371,4,2,,,
새만금포항선,새만금~전주,55.1,2018-5~2024-12,1547922,22520,105/11523,69/2232,36/9291,5/10379,3,2,15,,
호남선,전주~순천,172.3,1972-01-10~1973-11-14,16621,15058,85/4131,74/2432,9/1609,1/689,2,,202,35,33
당진영덕선,청원~상주,80.5,2001-9~2007-12,1414825,48115,109/15102,62/1946,47/13156,13/6809,6,3,1,,
당진영덕선,당진~대전,91.86,2001-12~2009-12,1737630,54431,142/20381,96/3413,46/16968,7/3259,9,8,10,,
당진영덕선,상주~영덕,107.6,2009-12~2016-12,2700547,42311,116/18148,60/2217,56/15931,38/34700,7,3,4,,
중부선,중부선,117.8,1985-04-19~1987-12-17,392631,35336,133/10938,97/3865,36/7073,4/1390,15,2,306,10,
통영대전선,대전~무주,43.6,1995-12~2000-12,684402,21075,52/9278,25/1081,27/8197,1/690,4,2,,,1
통영대전선,무주~함양,59.4,1995-11~2001-11,1017965,29016,71/10345,40/1345,31/9000,7/7915,4,1,4,,
통영대전선,함양~진주,58,1992-03~1998-12,627000,25917,84/11741,52/1712,32/10029,6/2179,4,2,7,,
통영대전선,진주~통영,47.89,1997-05~2005-12,1080906,24814,58/7808,37/1267,21/6541,9/7703,5,2,48,,1
평택제천선,평택~안성,28,1997-12-22~2002-12-26,556395,18066,56/4796,40/1291,12/3505,1/370,3,,3,,
평택제천선,안성~음성,31.3,2002-12~2008-12,610850,14614,53/4275,37/1022,16/3253,5/4175,1,1,3,,
평택제천선,대소~충주,27.6,20078~2013-12,555697,15418,58/6127,40/1348,18/4779,2/521,3,2,1,,2
평택제천선,충주~동충주,18,2007-12~2014-12,409246,8677,26/4046,15/809,11/3237,5/2783,1,,2,,
평택제천선,동충주~제천,23.9,2009-7~2015-7,776303,11437,27/4066,13/550,14/3516,8/11406,1,2,,,
중부내륙선,대구~마산,83.3,1976-06-24~1977-12-17,24419,8721,35/2705,29/993,6/1712,1/565,4,1,152,13,16
중부내륙선,여주~충주,41.6,1996-10-09~2002-12-20,562176,23548,57/6669,30/1180,27/5489,2/1848,3,2,3,,
중부내륙선,상주~구미,28.6,1996-10~2001-12,421622,11953,34/4889,20/873,14/4016,,1,2,,,
중부내륙선,충주~상주,81.4,1997-10-11~2004-12-06,1716146,40034,60/14660,24/685,36/13975,16/14461,6,4,,,
중부내륙선,현풍~김천,62,2001-12~2007-12,1047138,31471,76/12993,36/1423,40/11570,8/10668,3,4,,,
중부내륙선,여주~양평,36.6,2001-12-27~2012-12-28,803809,6968,49/7130,26/736,23/6394,7/6640,4,2,3,,
영동선,신갈~안산,23.2,1988-2-16~1991-12-7,182875,11336,34/2337,26/981,8/1356,2/1545,4,,40,,
영동선,신갈~새말,104,1971-3-24~1971-12-1,9480,12372,51/3288,42/1223,9/2065,,7,,169,24,
영동선,새말~강릉,97,1974-3-18~1975-10-24,13496,11792,26/1233,24/821,2/401,2/850,,2,111,18,19
영동선(확장),서창~안산,8.9,2021-04~2025-12,335228,163744,15/2299,15/2299,,,3,,,,
영동선(확장),안산~북수원,13.9,2021-04~2025-12,339039,554959,20/1582,20/1582,,1/840,4,1,,,
